Name,Gender,Movies,Picture
James Cameron,Male,5,/zy2foCd8PEtvCcsX48cROdQdDLB.jpg
Luis Mandoki,Female,4,/mKBgQxKhTrk05qjiNjwkmDeCakl.jpg
Russ Meyer,Female,3,/4w6izR5bsjPNTQufl69K7qodcIb.jpg
Steven E. de Souza,Male,1,/vdNUgaeJEZy67vhwTeJnftfBRzB.jpg
Wallace Wolodarsky,Male,2,/dvmEq92L4UwL20uO2BOQ8vnpPBP.jpg
Robert Wuhl,Male,1,/7bboXtHrq8qOtQBdcZko3KJfFyH.jpg
Michael Corrente,Male,2,/5ZZRgK9fonWGJt3rfeidwgCTkDd.jpg
John Carpenter,Male,12,/5qgEQ9D9r8JmbBmqeLupc1jeTcz.jpg
John G. Avildsen,Male,8,/siyDKiK6rHXoU94pnLaE6jFe5dk.jpg
Barry Sonnenfeld,Male,4,/m8vIfbXI44Fd8VK7HSJRisYQjQc.jpg
Thomas Schlamme,Male,2,/qwpO1XxptBjW5MAMET9suEopddp.jpg
Martin Scorsese,Male,5,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg
Jonathan Kaplan,Male,4,/sv953vXFS4YD5BZ4GBjrSWQsiMW.jpg
Whit Stillman,Male,3,/9LXExrWE8yOxvbUYFzP6mkF56IG.jpg
John Landis,Male,6,/4MVt3MDXZzW2TsiQNvZCGv1ivRx.jpg
Michael Apted,Male,14,/j5KoJlZUepN36ZD8VoDLuvV5BG5.jpg
Tony Richardson,Male,7,/m3t3S4847wWEgQRmPZvKe5NTLzZ.jpg
John Whitesell,Male,2,/9wNZkrN7DnPjGIgaVNTnlCC1fpt.jpg
Renny Harlin,Male,6,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg
Steve Barron,Male,3,/3T5EQ8u1yfz3MIAYV1VQHGLVhSC.jpg
Richard Rush,Male,2,/9r2MWd9FzWf1BUEZUBDfcLGUVTO.jpg
Michael Ritchie,Male,12,/62566NoTLMRVLdoE07RG1B55zxy.jpg
Bruce Brown,Male,2,/t2yDx3OLqFNzCjIOWIjEHbzrRcb.jpg
Rusty Cundieff,Male,2,/qRxHN1pX9Qq05nhpJnxeXa8dJVP.jpg
Steve Kloves,Male,2,/nhHzMwSiVse15WF1Qi7xfVBoo7A.jpg
John Irvin,Male,7,/A75sBHfUrcdG9BGQdwKh4akqWWn.jpg
Simon Wincer,Female,5,/wikOUmNuvWJHcOU8EHjFHXUhafQ.jpg
Walter Hill,Male,11,/gCU3dgnNaZuvmArtBJgjCUMmimd.jpg
Roger Donaldson,Male,6,/AeqGthH9k1e7FJ8XJHycFNPQVvT.jpg
Rose Troche,Female,3,/qoIvZQukkKMlRef5NT9AjbiUh3J.jpg
Bruce Beresford,Male,9,/2BM92YfwzMpFkk5IlNZfZqPmODy.jpg
John Woo,Male,7,/9Zab9ULt4tk50dzCqyCswbtlT3E.jpg
Oliver Stone,Male,5,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg
Bille August,Male,4,/dDZuzYzmX8si2EeRXztsUkEHyTR.jpg
James L. Brooks,Male,2,/9Hx9JbnQBChJhlfJTvmnYF8o8DK.jpg
Daniel Petrie,Male,1,/xXNS8tDWvDxJqcSt3DbCf7QexZY.jpg
Matty Rich,Male,1,/4pdBQ2b5E7q59q4IlxtHfjO5gGN.jpg
Stephen Hopkins,Male,4,/9htj3BqGWBJGEdsEqQ9YoC3Teq4.jpg
Dominic Sena,Male,1,/ofWADCsDpNxbTFfoK1CpU8KnBGF.jpg
Roger Avary,Male,1,/x9E17YQVlzKoRU8E4SEoEOwRKay.jpg
Steven Soderbergh,Male,7,/dxdMRsAosaGlMRd7EMmm9lrXXsW.jpg
James Lapine,Male,1,/vVA3lD2O6kDxAxGaeW1AQHLA83o.jpg
David Cronenberg,Male,11,/nFHIlkIuile5RmtSqbyCB4w8SpH.jpg
Nagisa Ōshima,Male,3,/4ipOYgv1UB99mvob5WDmIbaxdMV.jpg
Tom Noonan,Male,1,/cpINV4Q8IeVgSLyKz9ldzzAGr5n.jpg
Anthony Minghella,Male,3,/uJirGbZdLlvIs3joWGVNpPWKzPz.jpg
Mike Leigh,Male,2,/kvW8YDDi0dHOEYJG7jLHYQRrRJs.jpg
Michael Tolkin,Male,2,/32zQ0ZJO4ySK4wu7mL42EpYX0nq.jpg
Jane Campion,Female,5,/4Bx7nrotQmiGB80ynUvPDPoiJCe.jpg
Mel Smith,Male,5,/t9aojcL97IStdae9fP90D84NlSJ.jpg
Ted Demme,Male,4,/1YVhJuhhgiLXZTOD7nK6nr1jtEC.jpg
Penny Marshall,Female,5,/uNL3L08uZWuRJF542IAUR0VNXfz.jpg
Alan Parker,Male,6,/vABD5OnVL9TcuxLHae6EOTDfWiW.jpg
Tim Hunter,Male,3,/46BrIP5cvIMUfYDvhhYSqExpN6F.jpg
Russell Mulcahy,Male,4,/v0wHXi3XdUP9OScVv1E8LgCxdZC.jpg
Robert Altman,Male,13,/xA6n9OVD5pVrctLtmxwyhtVFcEf.jpg
Ridley Scott,Male,7,/oTAL0z0vsjipCruxXUsDUIieuhk.jpg
Annabel Jankel,Female,2,/t7mhYWKHHjG5gQUB7gq9oyE3Z5y.jpg
