Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Mary Reilly,Drama,47,,Chinese,A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart  Mr. Hyde.,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,TriStar Pictures,2001,Medium,370,The untold story of Jekyll and Hyde,5.7,Drama  Thriller  Romance  Horror
The Warrior's Way,Action,42,http://www.iamrogue.com/thewarriorsway,Chinese,An Asian assassin (Dong-gun Jang) is forced to hide in a small town in the American Badlands. Also starring Kate Bosworth  Danny Huston  Tony Cox and Academy Award winner Geoffrey Rush.,/ev5Einzgi2OFxPllt81DxBnfBSu.jpg,Boram Entertainment Inc.,2010,Medium,370,Assassin. Hero. Legend.,6.3,Action  Fantasy  Adventure  Thriller
Home,Comedy,135,http://www.meettheboov.com/,English,When Earth is taken over by the overly-confident Boov  an alien race in search of a new place to call home  all humans are promptly relocated  while all Boov get busy reorganizing the planet. But when one resourceful girl  Tip  manages to avoid capture  she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.,/nIvfqZkq4nQmmIwOowRgBLhWoDd.jpg,Twentieth Century Fox Film Corporation,2015,Medium,369,Worlds Collide,6.8,Comedy  Fantasy  Science Fiction  Family
Jurassic Park III,SF & Fantasy,93,,English,In need of funds for research  Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.,/26L7XODsNlxX3VwkfuUnYOslbRF.jpg,Universal Studios,2001,Medium,369,This time  it's not just a walk in the park!,5.7,Action  Science Fiction  Adventure  Thriller
The Green Mile,SF & Fantasy,60,http://thegreenmile.warnerbros.com/,English,A supernatural tale set on death row in a Southern prison  where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard  Paul Edgecomb  recognizes Coffey's miraculous gift  he tries desperately to help stave off the condemned man's execution.,/3yJUlOtVa09CYJocwBU8eAryja0.jpg,Castle Rock Entertainment,2005,Medium,369,Miracles do happen.,8.2,Fantasy  Drama
The Thin Red Line,Drama,52,,English,Based on the graphic novel by James Jones  The Thin Red Line tells the story of a group of men  an Army Rifle company called C-for-Charlie  who change  suffer  and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey  from the surprise of an unopposed landing  through the bloody and exhausting battles that follow  to the ultimate departure of those who survived. A powerful frontline cast - including Sean Penn  Nick Nolte  Woody Harrelson and George Clooney - explodes into action in this hauntingly realistic view of military and moral chaos in the Pacific during World War II.,/jGDK6eM6vb8VEUmR0ZoaghcCG8f.jpg,Fox 2000 Pictures,2003,Medium,369,Every man fights his own war.,7.2,Drama
Gone Girl,Thriller,61,http://www.gonegirlmovie.com/,English,With his wife's disappearance having become the focus of an intense media circus  a man sees the spotlight turned on him when it's suspected that he may not be innocent.,/gdiLTof3rbPDAmPaCf4g6op46bj.jpg,Twentieth Century Fox Film Corporation,2014,Medium,369,You don't know what you've got 'til it's...,7.9,Drama  Thriller
Black Hawk Down,Action,92,,English,When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord  their Black Hawk helicopters are shot down  and the Americans suffer heavy casualties  facing intense fighting from the militia on the ground.,/yUzQ4r3q1Dy0bUAkMvUIwf0rPpR.jpg,Jerry Bruckheimer Films,2001,Medium,369,Leave No Man Behind.,7.2,Action
The Fugitive,Action,44,,English,Wrongfully accused of murdering his wife  Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard  a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases  he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.,/3gzLGFBoJM1xlNk0Ulzp0cJ6uPp.jpg,Warner Bros.,2008,Medium,369,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,7.2,Action  Adventure  Thriller
Lost in Space,Action,80,,English,The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime  the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission  the Robinsons find themselves hurtling through uncharted space.,/kkBDPkUnYwAkWbYY2bnyf5ANObA.jpg,New Line Cinema,2000,Medium,369,Danger  Will Robinson!,5.0,Science Fiction  Family  Adventure
寻龙诀,Action,37,,Chinese,"At the beginning of the 1990s  famous tomb explorer Hu Bayi decided to retire and move to the United States with his girlfriend Shirley. But before his wedding  Bayi discovers his first love Ding Shitian  who supposedly had died in the ""One Hundred Cave"" 20 years ago  is actually still alive. Together with Shirley and his old exploration partner  Bayi unravels a terrible millennium-old secret...",/nyv5EbkcxdXCGmHCb9w1dJQBgXl.jpg,Beijing Enlight Pictures,2015,Medium,369,,6.0,Action  Fantasy  Adventure
Power Rangers,SF & Fantasy,100,http://www.powerrangers.movie/,English,Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny  our heroes quickly discover they are the only ones who can save the planet. But to do so  they will have to overcome their real-life issues and before it’s too late  band together as the Power Rangers.,/zV5rpeTzUJ7QpA3NC4iidlwXssU.jpg,Lionsgate,2017,Medium,369,Together we are more,6.3,Action  Science Fiction  Adventure
Chinese Zodiac,Action,48,http://hbpictures.ayomovie.com/12shengxiao//,Chinese,Asian Hawk (Jackie Chan) leads a mercenary team to recover several lost artifacts from the Old Summer Palace  the bronze heads of the 12 Chinese Zodiac animals which were sacked by the French and British armies from the imperial Summer Palace in Beijing in 1860. Assisted by a Chinese student & a Parisian lady  Hawk stops at nothing to accomplish the mission.,/m2hIAsDxf0GtKbffm6siuc6uZC1.jpg,Emperor Motion Pictures,2012,Medium,369,His mission is to recover their heads  before they take his,6.0,Action  Adventure
The Heartbreak Kid,Comedy,60,,English,"Eddie  the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico  the woman of his dreams turns out to be a total nightmare  and the guy who could never pull the trigger realizes he’s jumped the gun.",/2mXchbgTsqYx9qXIatsINjGowDy.jpg,Conundrum Entertainment,2007,Medium,369,He waited all his life to get married. Too bad he didn't wait another week.,5.7,Comedy
Cliffhanger,Thriller,70,,English,A year after losing his friend in a tragic 4 000-foot fall  former ranger Gabe Walker and his partner  Hal  are called to return to the same peak to rescue a group of stranded climbers  only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.,/8XefYka77ypAnPJvaVlfUGBBs4a.jpg,TriStar Pictures,2006,Medium,369,The height of adventure.,6.1,Action  Adventure  Thriller
Law Abiding Citizen,Thriller,53,,English,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,/p7zwLp8gCKyrNLCHP3RhmN5izHo.jpg,Film Department,2009,Medium,369,The System Must Pay.,7.2,Drama  Thriller
Rango,Action,135,http://www.rangomovie.com/,English,When Rango  a lost family pet  accidentally winds up in the gritty  gun-slinging town of Dirt  the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for  new Sheriff Rango is forced to play his new role to the hilt.,/afxRbCwwKjrWgGJtsVNs1BW1Dk5.jpg,Paramount Pictures,2011,Medium,369,Heroes come in all different colors.,6.6,Comedy  Family  Adventure
Kiss of Death,Thriller,40,,English,Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens  trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars  a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release  he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching  the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences.,/uQjFpAEF6GUIKW46sbndWtsEQSl.jpg,Twentieth Century Fox Film Corporation,2007,Medium,369,,5.7,Action  Drama  Thriller
American Outlaws,Action,35,,English,When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge  a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and  as their fame grows  so will the legend of their leader  a young outlaw by the name of Jessie James.,/cijrhkluznw3T6ZAh2wDP5EUtOs.jpg,Morgan Creek Productions,2001,Medium,368,Sometimes the wrong side of the law is the right place to be.,5.7,Action
Little Nicky,SF & Fantasy,85,,English,After the lord of darkness decides he will not cede his thrown to any of his three sons  the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son  Little Nicky  to Earth to return his brothers to Hell.,/ijfKqbZoZQjer5Oiolxy7hn8L92.jpg,New Line Cinema,2000,Medium,368,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,5.2,Comedy  Fantasy  Romance
Yogi Bear,Family,80,http://www.yogibear.com/,English,"Jellystone Park has been losing business  so greedy Mayor Brown decides to shut it down and sell the land. That means families will no longer be able to experience the natural beauty of the outdoors -- and  even worse  Yogi and Boo Boo will be tossed out of the only home they've ever known. Faced with his biggest challenge ever  Yogi must prove that he really is ""smarter than the average bear"" as he and Boo Boo join forces with their old nemesis Ranger Smith to find a way to save Jellystone Park from closing forever.",/5oYL4YS8WHjhodRLn4b8BRZ3YHh.jpg,De Line Pictures,2010,Medium,368,Life's a Pic-A-Nic,5.2,Comedy  Family  Adventure
Metropolis,SF & Fantasy,93,,Other,In a futuristic city sharply divided between the working class and the city planners  the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.,/qriaeUUwdmlgethK3aSAx68mG05.jpg,Paramount Pictures,2001,Medium,368,There can be no understanding between the hands and the brain unless the heart acts as mediator.,8.0,Science Fiction  Drama
Snowden,Drama,40,http://snowdenfilm.com/,English,CIA employee Edward Snowden leaks thousands of classified documents to the press.,/mWOotrG1MMKP9iCy2uPepbu27jk.jpg,Endgame Entertainment,2016,Medium,368,The only safe place is on the run.,7.0,Drama  Thriller
The Living Daylights,Action,40,http://www.mgm.com/view/movie/1132/The-Living-Daylights/,English,James Bond helps a Other General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,/yEryMe58dx7zm1QBhQFeuYcv2aH.jpg,United Artists,2012,Medium,368,Licensed to thrill.,6.2,Action  Adventure  Thriller
The Adventures of Baron Munchausen,SF & Fantasy,47,,Other,An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.,/75SlrEn0RCb2Ng18cCE82S00Hi5.jpg,Columbia Pictures Corporation,2018,Medium,368,Remarkable. Unbelievable. Impossible. And true.,6.9,Action  Comedy  Fantasy  Adventure
Tristan & Isolde,Drama,31,,Other,An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,/8AAh97XRGbgQnMWMJ6atwEQhJQ1.jpg,Twentieth Century Fox Film Corporation,2006,Medium,368,Fighting countries can still love...,6.4,Drama
The 6th Day,SF & Fantasy,82,,Other,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,/6pBUekwhnjW99V0cLphx7dZE2Wx.jpg,Phoenix Pictures,2000,Medium,368,Are You Who You Think You Are,5.7,Science Fiction
Hitch,Comedy,70,,Other,Dating coach Alex 'Hitch' Hitchens mentors a bumbling client  Albert  who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress  Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas  a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.,/wY1AsrhhymgxVruhkPtfBoLnUA3.jpg,Columbia Pictures Corporation,2005,Medium,368,The cure for the common man.,6.3,Comedy  Drama  Romance
Assassin's Creed,SF & Fantasy,125,http://www.foxmovies.com/movies/assassins-creed,Other,Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain  Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills  he is now poised to take on the oppressive Knights Templar in the present day.,/tIKFBxBZhSXpIITiiB5Ws8VGXjt.jpg,Regency Enterprises,2016,Medium,368,Your destiny is in your blood.,5.4,Action  Science Fiction  Adventure
Imagine That,Comedy,55,http://www.imaginethatmovie.com/,Other,A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world  where solutions to his problems await.,/9ETjpBoez7YbClZaELtShO33QHT.jpg,Paramount Pictures,2009,Medium,368,What if your daughter's imagination... Was the secret to your success?,5.7,Comedy
Unleashed,Action,45,http://www.universalstudiosentertainment.com/unleashed/,Other,"Raised as a slave  Danny is used to fighting for his survival. In fact  his ""master "" Bart  thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs  where Danny is the main contender. When Bart's crew is in a car accident  Danny escapes and meets a blind  kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",/hfyZgFOjZAk10YlsRl9krBMuQ9K.jpg,Canal Plus,2005,Medium,368,Serve No Master,6.6,Action
Resident Evil,Action,33,http://www.sonypictures.com/movies/residentevil/index.html,Other,When a virus leaks from a top-secret facility  turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell  the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.,/fttmSgLEOdBNwQepW2lC6t0mbOm.jpg,Impact Pictures,2002,Medium,368,A secret experiment. A deadly virus. A fatal mistake.,6.4,Action  Science Fiction  Horror
Pathfinder,Action,45,,Other,A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe  he ultimately becomes their savior in a fight against the Norsemen.,/1gN8kJYFjyAOL3cR1z6lnMkElfb.jpg,Twentieth Century Fox Film Corporation,2007,Medium,367,Two Worlds  One War. The Ultimate Battle Begins.,5.4,Adventure
Shark Tale,Family,75,,Other,Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile  Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast  the two form an unlikely friendship.,/zSHqX4qklYrHMEcv2GiHG5UwVsz.jpg,DreamWorks SKG,2004,Medium,367,The story of what happens when one little fish tells a great white lie...,5.8,Action  Comedy  Family
The Country Bears,Action,35,http://movies.disney.com/the-country-bears,Other,For Beary Barrington  The Country Bears' young #1 fan  fitting in with his all-too-human family is proving im-paws-ible. When he runs away to find Country Bear Hall and his heroes  he discovers the venue that made them famous is near foreclosure. Beary hightails it over the river and through the woods to get the Bears in the Band back together for an all-out reunion concert to save Country Bear Hall.,/h6mm3z7Wf4y1rJGHxqjVTTHl217.jpg,Walt Disney Pictures,2002,Medium,367,It's A Bear Getting The Family Together!,4.3,Comedy  Family  Adventure
Spirit: Stallion of the Cimarron,Action,80,,Other,As a wild stallion travels across the frontiers of the Old West  he befriends a young human and finds true love with a mare.,/7cfXsSe621cWpCpAuuJgud0Gszt.jpg,DreamWorks SKG,2002,Medium,367,Leader. Hero. Legend.,7.4,Comedy  Family  Adventure
Gods and Generals,Drama,56,,Other,"The film centers mostly around the personal and professional life of Thomas ""Stonewall"" Jackson  a brilliant if eccentric Confederate general  from the outbreak of the American Civil War until its halfway point when Jackson is killed accidentally by his own soldiers in May 1863 during his greatest victory.",/jodqsKcMfd31vqXHCosQ8joB5Hm.jpg,Warner Bros. Pictures,2003,Medium,367,The nations heart was touched by...,6.1,Drama
The Patriot,Action,110,,Other,After proving himself on the field of battle in the French and Indian War  Benjamin Martin wants nothing more to do with such things  preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation  America  against the British  Benjamin reluctantly returns to his old life to protect his son.,/tgXOraQmKatqrVs2KMgnNn6QpO.jpg,Centropolis Entertainment,2000,Medium,367,Some things are worth fighting for.,6.8,Action  Drama
Lincoln,Drama,65,,Other,A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change  Lincoln pursues a course of action designed to end the war  unite the country and abolish slavery. With the moral courage and fierce determination to succeed  his choices during this critical moment will change the fate of generations to come.,/gkkiDu9srCCbCMxGKwNwKCxK7KF.jpg,DreamWorks,2012,Medium,367,With the moral courage and fierce determination to succeed  his choices will change the fate of generations to come.,6.7,Drama
The Lone Ranger,Action,255,http://disney.go.com/the-lone-ranger/,Other,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish  but the gang ambushes the Rangers  seemingly killing them all. One survivor is found  however  by an American Indian named Tonto  who nurses him back to health. The Ranger  donning a mask and riding a white stallion named Silver  teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.,/b4vil5ueYJNBNypHmo1tpuevh4z.jpg,Walt Disney Pictures,2013,Medium,367,Never Take Off the Mask,5.9,Action  Adventure
The Judge,Drama,50,http://thejudgemovie.com/,Other,A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father  the town's judge  is suspected of murder.,/v6s65U6qisvxWgO3cNnreaaaite.jpg,Village Roadshow Pictures,2014,Medium,367,Defend your Honor.,7.2,Drama
Dracula,Horror,40,,Other,When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife  Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness.,/ioHxm3D3JdSXR61LRhcVb8KdZOz.jpg,American Zoetrope,2016,Medium,367,Love never dies.,7.1,Romance  Horror
The Mirror Has Two Faces,Romance,42,,Other,Rose Morgan (Barbara Streisand)  who still lives with her mother (Lauren Bacall)  is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin (Jeff Bridges)  a mathematics professor  has been burned by passionate relationships and longs for a sexless union based on friendship and respect.,/8Cgmt9otEhoIlW6p5pLfCWjf4Io.jpg,TriStar Pictures,2015,Medium,367,A story about just how wrong two people can be before they can be right.,6.5,Comedy  Drama  Romance
Elizabethtown,Comedy,57,,Other,Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse  he's also dumped by his girlfriend. On the verge of ending it all  Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way  he meets a flight attendant with whom he falls in love.,/Asn50mIjDaeDKbaJkQ7lY6goV8p.jpg,Paramount Pictures,2005,Medium,367,It's a heck of a place to find yourself,6.1,Comedy  Drama  Romance
The Ridiculous 6,Comedy,60,http://www.netflix.com/title/80039517,Other,"When his long-lost outlaw father returns  Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",/k77xcsBtZMq9zIlTVQV7UBemzXD.jpg,Happy Madison Productions,2015,Medium,367,,4.9,Comedy
New Year's Eve,Romance,56,,Other,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,/el1pKVogVwmE1dpbeAO1Ol6y1Vl.jpg,New Line Cinema,2011,Medium,367,The one night anything is possible.,5.7,Comedy  Romance
The Brothers Grimm,Comedy,88,,Other,Folklore collectors and con artists  Jake and Will Grimm  travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However  they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings  requiring genuine courage.,/g6EgJUwwQre5RsvFj2hDsLzXUsH.jpg,The Weinstein Company,2005,Medium,367,Eliminating Evil Since 1812.,5.6,Action  Comedy  Fantasy  Adventure  Thriller
The Nutcracker: The Untold Story,Action,90,http://www.nutcrackerin3d.com/,Other,Set in 1920's Vienna  this a tale of a little girl  whose godfather gives her a special doll one Christmas Eve.,/vMDLIB1cwsaOK4GJRMXIgukb9OX.jpg,Vnesheconombank,2010,Medium,367,,5.3,Action  Fantasy  Family
Contagion,SF & Fantasy,60,http://contagionmovie.warnerbros.com/,Other,As an epidemic of a lethal airborne virus - that kills within days - rapidly grows  the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.,/kbC6I0AOSLTHFA2dieyat9h8QHP.jpg,Double Feature Films,2011,Medium,367,Nothing spreads like fear,6.2,Science Fiction  Drama  Thriller
Hardball,Romance,32,,Other,An aimless young man who is scalping tickets  gambling and drinking  agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.,/y9kznZyZoBpckXg4g5qekhDq7Q1.jpg,Paramount Pictures,2001,Medium,367,The most important thing in life is showing up,6.3,Comedy  Romance
I Love You  Man,Comedy,41,http://www.iloveyouman.com/,Other,"Peter Klaven is a successful real estate agent who  upon getting engaged to the woman of his dreams  Zooey  discovers  to his dismay and chagrin  that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation  embarking on a series of bizarre and awkward ""man-dates.""",/gFL5cazCOhgsoO2mQuYPMdFekfE.jpg,The Montecito Picture Company,2009,Medium,367,He needed a best man... He got the worst.,6.5,Comedy
Beverly Hills Cop III,Action,50,,Other,Back in sunny southern California and on the trail of two murderers  Axel Foley again teams up with LA cop Billy Rosewood. Soon  they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.,/tw9gAhqQcBFX0X0XfVbWqUsmzoU.jpg,Paramount Pictures,2011,Medium,367,,5.5,Action  Comedy
Evolution,Action,80,,Other,"A comedy that follows the chaos that ensues when a meteor hits the Earth carrying alien life forms that give new meaning to the term ""survival of the fittest."" David Duchovny  Orlando Jones  Seann William Scott  and Julianne Moore are the only people standing between the aliens and world domination... which could be bad news for the Earth.",/zGwNEPgfCXthetspyTHwvTEbfJG.jpg,DreamWorks SKG,2001,Medium,367,Coming to wipe that silly smile off your planet.,5.7,Action  Comedy  Science Fiction
Righteous Kill,Action,60,http://www.righteouskill-themovie.com,Other,Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose  and did they perhaps put the wrong person behind bars?,/97Jvzj9ekO9mzYqgvsyGRMepres.jpg,Grosvenor Park Media Ltd.,2008,Medium,367,Most people respect the badge. Everybody respects the gun.,5.9,Action  Drama  Thriller
Jade,Thriller,50,,Other,Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor  an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,Paramount Pictures,2008,Medium,366,Some fantasies go too far.,5.1,Action  Thriller  Romance
Jumper,SF & Fantasy,85,http://www.fox.co.uk/jumper,Other,David Rice is a man who knows no boundaries  a Jumper  born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself  David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now  David’s extraordinary gift may be his only hope for survival!,/mIz6FQabZrrzsOwYFpUpreijpvx.jpg,Dune Entertainment,2008,Medium,366,anywhere is possible.,5.9,Fantasy  Science Fiction  Adventure
The Hurricane,Drama,50,,Other,"The story of Rubin ""Hurricane"" Carter  a boxer wrongly imprisoned for murder  and the people who aided in his fight to prove his innocence.",/6SoTMHbcZ6XItPiEfIe1WzeET3c.jpg,Universal Pictures,2017,Medium,366,His greatest fight was for justice.,7.2,Drama
The Prestige,Drama,40,http://wwws.warnerbros.de/theprestige/,Other,A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession  deceit and jealousy with dangerous and deadly consequences.,/5MXyQfz8xUP3dIFPTubhTsbFY6N.jpg,Warner Bros.,2006,Medium,366,Are You Watching Closely?,8.0,Drama  Thriller
Die Hard: With a Vengeance,Action,90,,Other,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series  which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all  until a genius named Simon engages McClane  his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,Twentieth Century Fox Film Corporation,2004,Medium,366,Think fast. Look alive. Die hard.,6.9,Action  Thriller
Silent Hill,Horror,50,http://www.sonypictures.com/homevideo/silenthill/,Other,The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care  Rose flees with her child  heading for the abandoned town in search of answers – and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog  inhabited by a variety of strange beings and periodically overcome by a living 'darkness' that literally transforms everything it touches. As Rose searches for her little girl  she begins to learn the history of the strange town and realizes that her daughter is just a pawn in a larger game.,/4Zz9cF8S4E7DITosNYh3spybYJb.jpg,Silent Hill DCP Inc.,2006,Medium,366,We've been expecting you.,6.3,Horror
黃石的孩子,Drama,40,http://www.childrenofhuangshi.com/,Other,About young British journalist  George Hogg  who with the assistance of a courageous Australian nurse  saves a group of orphaned children during the Japanese occupation of China in 1937.,/uN37F4H1HiP5rbKZCPFQQ34dqtY.jpg,Australian Film Finance Corporation,2008,Medium,366,War made them orphans  one man made them legends,6.5,Drama
Courage Under Fire,Thriller,46,,Other,"A US Army officer had made a ""friendly fire"" mistake that was covered up and he was reassigned to a desk job. Later he was tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor posthumously. At first all seemed in order then he begins to notice inconsistencies between the testimonies of the witnesses....",/lPAzGRgc2afaGsYwFX7Iez8gzmq.jpg,Twentieth Century Fox Film Corporation,2010,Medium,366,A medal for honor. A search for justice. A battle for truth.,6.2,Drama  Thriller
The Dilemma,Drama,70,http://www.thedilemmamovie.com,Other,Longtime friends Ronny and Nick are partners in an auto-design firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man  and in the process of investigating the possible affair  he learns that Nick has a few secrets of his own. As the presentation nears  Ronny agonizes over what might happen if the truth gets out.,/z08hb5v5msfD1Pr5eoylXtVtMCE.jpg,Imagine Entertainment,2011,Medium,366,Two best friends. Nothing could come between them... or could it?,5.2,Comedy  Drama
Little Black Book,Comedy,35,,Other,Determined to learn about her boyfriend's past relationships  Stacy -- who works for a talk show -- becomes a bona fide snoop. With her colleague  Barb  Stacy gets the names of Derek's ex-lovers and interviews them  supposedly for an upcoming show. But what she learns only adds to her confusion  and her plans begin to unravel when she befriends one of the women.,/mSuq5kvyj43uQzasMzbDIlIrkxS.jpg,Revolution Studios,2004,Medium,366,Have you ever been tempted to look inside his...,5.2,Comedy  Drama  Romance
Lady in the Water,Drama,75,,Other,Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home  he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.,/ddNmoSy1Jd3PBF5XDZvrrBIfrja.jpg,Legendary Pictures,2006,Medium,366,Time is running out for a happy ending.,5.3,Fantasy  Drama  Thriller
Astérix & Obélix - Au service de Sa Majesté,Comedy,61,,Other,Asterix crosses the channel to help second-cousin Anticlimax face down Julius Caesar and invading Romans.,/rbdGCkvLPxuSvfVwHDK4PmOqmIm.jpg,France 2 Cinéma,2012,Medium,366,,4.9,Comedy  Family  Adventure
Tropic Thunder,Action,92,http://www.tropicthunder.com/,Other,Vietnam veteran 'Four Leaf' Tayback's memoir  Tropic Thunder  is being made into a film  but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget  Cockburn is ordered by a studio executive to get filming back on track  or risk its cancellation. On Tayback's advice  Cockburn drops the actors into the middle of the jungle to film the remaining scenes but  unbeknownst to the actors and production  the group have been dropped in the middle of the Golden Triangle  the home of heroin-producing gangs.,/zoWUdaaWKPDyr9b0il0YcggDWgJ.jpg,DreamWorks SKG,2008,Medium,366,The movie they think they're making... isn't a movie anymore.,6.5,Action  Comedy
