Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
The Bourne Ultimatum,Action,70,http://www.universalstudiosentertainment.com/the-bourne-ultimatum/,English,Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar  an upgrade to Project Treadstone  in a series of newspaper columns. Information from the reporter stirs a new set of memories  and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.,/fHho6JYYY0nRcETWSoeI19iZsNF.jpg,Universal Pictures,2007,Medium,443,Remember everything. Forgive nothing.,7.3,Action  Drama  Thriller
Men in Black II,Action,140,http://www.sonypictures.com/homevideo/meninblackii/,English,Kay and Jay reunite to provide our best  last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB  but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.,/qWjRfBwr4VculczswwojXgoU0mq.jpg,Columbia Pictures,2002,Medium,442,Same Planet. New Scum.,6.1,Action  Comedy  Science Fiction  Adventure
Les Misérables,Drama,61,http://www.lesmiserablesfilm.com,English,An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France  in which a paroled prisoner named Jean Valjean seeks redemption.,/qEsrAHoxj746FRb7OLGYjrx1AI3.jpg,Universal Pictures,2012,Medium,442,Fight. Dream. Hope. Love.,7.2,Drama  Romance
Terminator Genisys,SF & Fantasy,155,http://www.terminatormovie.com/,English,The year is 2029. John Connor  leader of the resistance continues the war against the machines. At the Los Angeles offensive  John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future  and will ultimately change warfare forever.,/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg,Paramount Pictures,2015,Medium,441,Reset the future,5.8,Action  Science Fiction  Adventure  Thriller
Terminator 3: Rise of the Machines,SF & Fantasy,200,,English,It's been 10 years since John Connor saved Earth from Judgment Day  and he's now living under the radar  steering clear of using anything Skynet can trace. That is  until he encounters T-X  a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis  the Terminator  is back to aid the now-adult Connor … just like he promised.,/lz4xYdF1n09lyiCfZWtWT44SZiG.jpg,Columbia Pictures,2003,Medium,435,The Machines Will Rise.,5.9,Action  Science Fiction  Thriller
Warcraft,SF & Fantasy,160,http://www.warcraft-themovie.com/,English,The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds  one army faces destruction and the other faces extinction. From opposing sides  two heroes are set on a collision course that will decide the fate of their family  their people  and their home.,/ckrTPz6FZ35L5ybjqvkLWzzSLO7.jpg,Universal Pictures,2016,Medium,434,Two worlds. One home.,6.3,Action  Fantasy  Adventure
The Mummy Returns,SF & Fantasy,98,,English,Rick and Evelyn O'Connell  along with their 8 year old son Alex  discover the key to the legendary Scorpion King's might  the fabled Bracelet of Anubis. Unfortunately  a newly resurrected Imhotep has designs on the bracelet as well  and isn't above kidnapping its new bearer  Alex  to gain control of Anubis' otherworldly army.,/hioiYUZVIuYIhagDGhIAjyNEUu0.jpg,Universal Pictures,2001,Medium,433,The most powerful force on earth is about to be unleashed by the two people who should know better.,6.0,Action  Fantasy  Adventure
Die Another Day,Action,140,http://www.mgm.com/view/movie/232/Die-Another-Day/,English,Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent  Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.,/1iUZqUXS7x5FcGM5J0u01xuObWC.jpg,Eon Productions,2002,Medium,432,He’s never been cooler.,5.8,Action  Adventure  Thriller
Cast Away,Drama,90,,English,Chuck  a top international manager for FedEx  and Kelly  a Ph.D. student  are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor  and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.,/w515BrZvczKIxbHurG6HIiYYrba.jpg,DreamWorks SKG,2000,Medium,430,At the edge of the world  his journey begins.,7.5,Drama  Adventure
Django Unchained,Drama,100,http://unchainedmovie.com/,English,With the help of a German bounty hunter  a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,Columbia Pictures,2012,Medium,425,Life  liberty and the pursuit of vengeance.,7.8,Drama
The Matrix Revolutions,Action,150,,English,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,/sKogjhfs5q3azmpW7DFKKAeLEG8.jpg,Village Roadshow Pictures,2003,Medium,425,Everything that has a beginning has an end.,6.4,Action  Science Fiction  Adventure  Thriller
The Chronicles of Narnia: Prince Caspian,SF & Fantasy,225,,English,One year after their incredible adventures in the Lion  the Witch and the Wardrobe  Peter  Edmund  Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now  with the help of a colorful cast of new characters  including Trufflehunter the badger and Nikabrik the dwarf  the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.,/mEHd5n927ifJEODgbtC09Faqwcg.jpg,Walt Disney,2008,Medium,420,Hope has a new face.,6.3,Fantasy  Family  Adventure
The Mummy,SF & Fantasy,80,http://www.mummyvideo.com/,English,Dashing legionnaire Rick O'Connell and his companion  Beni stumble upon the hidden ruins of Hamunaptra while in the midst of a battle in 1923  3 000 years after Imhotep has suffered a fate worse than death – his body will remain undead for all eternity as a punishment for a forbidden love.,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,Universal Pictures,2002,Medium,416,The legend you know. The adventure you have yet to imagine.,6.6,Action  Fantasy  Adventure
The Chronicles of Narnia: The Voyage of the Dawn Treader,Action,155,,English,This time around Edmund and Lucy Pevensie  along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.,/pRzEyrMSyvpHf92EhsVSg9Yr81t.jpg,Dune Entertainment,2010,Medium,416,Return to magic. Return to hope. Return to Narnia.,6.2,Fantasy  Family  Adventure
Sex and the City,Drama,65,http://www.sexandthecitymovie.com/,English,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,/5fuWykynmiJ07fKA84BVxxuiGHx.jpg,New Line Cinema,2008,Medium,415,Get carried away.,6.0,Comedy  Drama  Romance
The Wolverine,SF & Fantasy,120,http://www.thewolverinemovie.com,English,Wolverine faces his ultimate nemesis - and tests of his physical  emotional  and mortal limits - in a life-changing voyage to modern-day Japan.,/iTST6DcLhfufWYUKCOskkusaYUq.jpg,Twentieth Century Fox Film Corporation,2013,Medium,415,When he's most vulnerable  he's most dangerous.,6.3,Action  Fantasy  Science Fiction  Adventure
Jason Bourne,Action,120,http://www.jasonbournemovie.com,English,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,/lFSSLTlFozwpaGlO31OoUeirBgQ.jpg,The Kennedy/Marshall Company,2016,Medium,415,You know his name,5.9,Action  Thriller
Kingsman: The Secret Service,Action,81,http://www.kingsmanmovie.com/,English,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg,Twentieth Century Fox Film Corporation,2015,Medium,414,Manners maketh man.,7.6,Action  Comedy  Adventure
Night at the Museum: Battle of the Smithsonian,Comedy,150,http://www.nightatthemuseummovie.com,English,Hapless museum night watchman Larry Daley must help his living  breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart  Abe Lincoln and Ivan the Terrible.,/qbU6AxmO69bBwu6Tw8HtcRoltAA.jpg,Twentieth Century Fox Film Corporation,2009,Medium,413,When the lights go off the battle is on.,5.9,Action  Comedy  Fantasy  Family  Adventure
Batman,Action,35,,English,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker  who has seized control of Gotham's underworld.,/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg,PolyGram Filmed Entertainment,2014,Medium,411,Have you ever danced with the devil in the pale moonlight?,7.0,Action  Fantasy
